price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,postal_code,state,city,central_air,central_heat,fireplace,rental_property,energy_efficient,community_security_features,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,corner_lot,farm,ranch,forced_air,dining_room,family_room,view,near_outdoors,near_rec_facilities,fancy_kitchen,type_condo,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhome,season_autumn,season_summer,season_winter
0.0,1920,2023-12-21,325000.0,4356.0,4496.0,4,0,1,9,6112,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1923,2023-12-21,300000.0,10890.0,1894.0,2,1,1,3,6114,Connecticut,Hartford,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4999.0,1965,2023-12-21,65000.0,7841.0,650.0,1,1,1,1,6105,Connecticut,Hartford,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
0.0,1913,2023-12-21,380000.0,8712.0,2498.0,3,0,1,7,6106,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11325.0,1943,2023-12-21,261250.0,4792.0,1042.0,1,0,1,4,6114,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0.0,1919,2023-12-19,635000.0,7405.0,8010.0,7,3,1,10,6114,Connecticut,Hartford,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1920,2023-12-19,25000.0,5227.0,1629.0,2,0,1,3,6106,Connecticut,Hartford,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30000.0,1895,2023-12-18,303000.0,6098.0,2315.0,3,0,1,6,6106,Connecticut,Hartford,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0.0,1923,2023-12-15,307000.0,5227.0,6930.0,1,0,1,2,6120,Connecticut,Hartford,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1926,2023-12-15,285000.0,6098.0,3696.0,2,2,1,4,6120,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
100.0,1900,2023-12-15,700000.0,9148.0,4400.0,4,0,1,5,6105,Connecticut,Hartford,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1898,2023-12-14,220000.0,6098.0,1510.0,2,1,1,2,6114,Connecticut,Hartford,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,1915,2023-12-14,412000.0,3485.0,3798.0,6,0,1,6,6106,Connecticut,Hartford,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
400.0,1875,2024-01-12,202000.0,7841.0,1379.0,2,1,2,2,6105,Connecticut,Hartford,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
4900.0,1917,2024-01-11,225000.0,5663.0,1167.0,2,1,1,3,6112,Connecticut,Hartford,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
9000.0,1900,2024-01-11,345000.0,6098.0,3238.0,3,0,1,6,6112,Connecticut,Hartford,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5000.0,1923,2024-01-10,259900.0,9583.0,1684.0,3,0,1,4,6112,Connecticut,Hartford,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
10000.0,1880,2024-01-10,230000.0,7841.0,1102.0,1,2,1,2,6106,Connecticut,Hartford,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
0.0,1957,2024-01-09,350000.0,7405.0,3006.0,2,0,1,6,6112,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0.0,1927,2024-01-08,282000.0,6098.0,2654.0,2,2,1,4,6114,Connecticut,Hartford,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24000.0,1900,2024-01-05,542500.0,8712.0,5553.0,6,0,1,12,6114,Connecticut,Hartford,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.0,1929,2024-01-05,450000.0,7405.0,3834.0,3,3,1,7,6114,Connecticut,Hartford,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
