price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,type,postal_code,state,city,central_air,central_heat,fireplace,rental_property,community_outdoor_space,energy_efficient,community_security_features,recreation_facilities,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,community_swimming_pool,modern_kitchen,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,updated_kitchen,corner_lot,farm,park,ranch,trails,forced_air,dining_room,family_room,view
10100.0,1952,2024-01-08,270000.0,13504.0,1296.0,1,2,1,4,single_family,12211,New York,Loudonville,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,1956,2024-01-05,295000.0,14810.0,1290.0,1,1,1,3,single_family,12203,New York,Guilderland,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False
0.0,1900,2024-01-05,350000.0,2178.0,2850.0,3,0,1,3,multi_family,12202,New York,Albany,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10000.0,1920,2024-01-05,247000.0,3920.0,1780.0,2,0,1,3,single_family,12209,New York,Albany,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True
0.0,1870,2024-01-05,235000.0,1307.0,2000.0,3,0,1,4,townhome,12202,New York,Albany,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.0,1951,2024-01-05,144815.0,26572.0,1359.0,1,0,1,3,single_family,12205,New York,Albany,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,1939,2024-01-05,255000.0,5227.0,1398.0,2,1,1,3,single_family,12208,New York,Albany,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
19000.0,1953,2024-01-05,283500.0,6098.0,1020.0,1,0,1,3,single_family,12203,New York,Albany,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
0.0,1875,2024-01-05,158000.0,2178.0,1629.0,2,1,1,4,multi_family,12202,New York,Albany,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True
15000.0,1905,2024-01-05,205000.0,3485.0,3120.0,3,0,1,5,multi_family,12206,New York,Albany,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1972,2024-01-05,293500.0,8712.0,1140.0,1,1,1,3,single_family,12203,New York,Albany,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False
0.0,1855,2024-01-04,330000.0,1307.0,2160.0,2,0,1,3,multi_family,12210,New York,Albany,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.0,1950,2024-01-03,259000.0,11761.0,1448.0,2,2,1,2,single_family,12203,New York,Albany,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15000.0,1950,2024-01-03,240300.0,5227.0,1102.0,1,1,1,2,single_family,12208,New York,Albany,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False
50000.0,1890,2024-01-02,599000.0,43560.0,4124.0,5,0,1,6,single_family,12211,New York,Loudonville,False,False,True,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
0.0,1965,2023-12-29,271000.0,7405.0,1000.0,2,1,1,3,single_family,12203,New York,Albany,True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
0.0,1950,2023-12-29,168000.0,3485.0,1716.0,2,0,1,4,multi_family,12206,New York,Albany,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14900.0,1930,2023-12-29,220000.0,4356.0,1560.0,2,1,1,4,single_family,12205,New York,Albany,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
0.0,1905,2023-12-29,347000.0,4792.0,2226.0,2,2,1,5,multi_family,12208,New York,Albany,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
